,name,lat,lon,category,type
0,Feiji X4,1.350052,103.852555,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [1.350052, 103.852555]}}"
1,Singapore Changi - British Airways Terminal Area,1.361453,103.856048,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [1.361453, 103.856048]}}"
2,Baiju Bawra Airbase,1.302799,103.861221,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [1.302799, 103.861221]}}"
3,Mumbai Chhatrapati Shivaji,1.297443,103.866997,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [1.297443, 103.866997]}}"
4,Air Force One,1.318314,103.887152,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [1.318314, 103.887152]}}"
5,Singairport,1.281192,103.827232,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [1.281192, 103.827232]}}"
6,Old Airport Dakota Hangar,1.307784,103.889232,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [1.307784, 103.889232]}}"
7,Immigration & Checkpoints Authority Parcel Post Section,1.317758,103.893703,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [1.317758, 103.893703]}}"
8,"Viewing Gallery, Mount Faber Safra",1.277723,103.817578,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [1.277723, 103.817578]}}"
9,Aviation & Electrical Trading,1.308097,103.858493,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [1.308097, 103.858493]}}"
10,Asian Security,1.296318,103.85587,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [1.296318, 103.85587]}}"
11,Chartered Asia Technology Enterprise,1.327976,103.896816,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [1.327976, 103.896816]}}"
12,Ion Orchard,1.304444,103.831852,Shopping Mall,"{'typepoint': {'type': 'Point', 'coordinates': [1.304444, 103.831852]}}"
13,Ritz-Carlton Millenia Singapore,1.290829,103.860196,Lodging,"{'typepoint': {'type': 'Point', 'coordinates': [1.290829, 103.860196]}}"
14,Marina Bay Sands Hotel,1.284033,103.859695,Hotel,"{'typepoint': {'type': 'Point', 'coordinates': [1.284033, 103.859695]}}"
15,Grand Hyatt Singapore,1.306411,103.83303,Hotel,"{'typepoint': {'type': 'Point', 'coordinates': [1.306411, 103.83303]}}"
16,Singapore Flyer,1.289546,103.863435,Building / Structure,"{'typepoint': {'type': 'Point', 'coordinates': [1.289546, 103.863435]}}"
17,Mandarin Oriental,1.290819,103.858297,Hotel,"{'typepoint': {'type': 'Point', 'coordinates': [1.290819, 103.858297]}}"
18,The Quincy Hotel,1.307788,103.835768,Hotel,"{'typepoint': {'type': 'Point', 'coordinates': [1.307788, 103.835768]}}"
19,Old Airport Road Food Centre,1.308187,103.885751,Chinese Restaurant,"{'typepoint': {'type': 'Point', 'coordinates': [1.308187, 103.885751]}}"
20,Air Force Training Command,1.356477,103.895615,Military Base,"{'typepoint': {'type': 'Point', 'coordinates': [1.356477, 103.895615]}}"
21,Mustafa Centre,1.310089,103.855238,Shopping Mall,"{'typepoint': {'type': 'Point', 'coordinates': [1.310089, 103.855238]}}"
22,Borneo Motors,1.290676,103.810467,Car Dealership,"{'typepoint': {'type': 'Point', 'coordinates': [1.290676, 103.810467]}}"
23,Bugis Street Sunglasses Store,1.30061,103.855115,Retail,"{'typepoint': {'type': 'Point', 'coordinates': [1.30061, 103.855115]}}"
24,Oasia Hotel Novena Singapore,1.320273,103.844857,Hotel,"{'typepoint': {'type': 'Point', 'coordinates': [1.320273, 103.844857]}}"
25,Concorde Hotel Singapore,1.300573,103.8421,Hotel,"{'typepoint': {'type': 'Point', 'coordinates': [1.300573, 103.8421]}}"
26,V Hotel Lavender,1.30784,103.86265,Hotel,"{'typepoint': {'type': 'Point', 'coordinates': [1.30784, 103.86265]}}"
27,Amk Hub,1.369343,103.848483,Shopping Mall,"{'typepoint': {'type': 'Point', 'coordinates': [1.369343, 103.848483]}}"
28,Lao Ban Soya Beancurd 老伴豆花,1.30827,103.885837,"Cafes, Coffee, and Tea Houses","{'typepoint': {'type': 'Point', 'coordinates': [1.30827, 103.885837]}}"
29,Aljunied MRT Station (EW9),1.31641,103.882847,Rail Station,"{'typepoint': {'type': 'Point', 'coordinates': [1.31641, 103.882847]}}"
30,Woodsville Court,1.329862,103.866646,Airport Food Court,"{'typepoint': {'type': 'Point', 'coordinates': [1.329862, 103.866646]}}"
31,Value Hotel Balestier,1.321377,103.853096,Hotel,"{'typepoint': {'type': 'Point', 'coordinates': [1.321377, 103.853096]}}"
32,City Hall Mrt Station,1.293205,103.852987,Rail Station,"{'typepoint': {'type': 'Point', 'coordinates': [1.293205, 103.852987]}}"
33,Old Kallang Airport,1.307506,103.873529,Historic and Protected Site,"{'typepoint': {'type': 'Point', 'coordinates': [1.307506, 103.873529]}}"
34,Peninsula Plaza,1.292278,103.850811,Shopping Mall,"{'typepoint': {'type': 'Point', 'coordinates': [1.292278, 103.850811]}}"
35,Paya Lebar MRT Interchange (EW8/CC9),1.317513,103.892313,Metro Station,"{'typepoint': {'type': 'Point', 'coordinates': [1.317513, 103.892313]}}"
36,Ang Mo Kio Bus Interchange,1.369332,103.84899,Bus Station,"{'typepoint': {'type': 'Point', 'coordinates': [1.369332, 103.84899]}}"
37,Maj Aviation,1.382081,103.869631,Business and Professional Services,"{'typepoint': {'type': 'Point', 'coordinates': [1.382081, 103.869631]}}"
38,Skywest Airlines,1.333157,103.839095,Airport Service,"{'typepoint': {'type': 'Point', 'coordinates': [1.333157, 103.839095]}}"
39,Dakota Mrt Station,1.308108,103.888488,Travel and Transportation,"{'typepoint': {'type': 'Point', 'coordinates': [1.308108, 103.888488]}}"
40,America West Airlines,1.352943,103.834207,Airport Service,"{'typepoint': {'type': 'Point', 'coordinates': [1.352943, 103.834207]}}"
41,Air Canada,1.31951,103.844017,Airport Service,"{'typepoint': {'type': 'Point', 'coordinates': [1.31951, 103.844017]}}"
42,Cessna Aircraft,1.318432,103.842901,Manufacturer,"{'typepoint': {'type': 'Point', 'coordinates': [1.318432, 103.842901]}}"
43,New East Star Travel & Tours,1.317677,103.843966,Travel and Transportation,"{'typepoint': {'type': 'Point', 'coordinates': [1.317677, 103.843966]}}"
44,Silkair,1.317414,103.843889,Airport Service,"{'typepoint': {'type': 'Point', 'coordinates': [1.317414, 103.843889]}}"
45,Pakistan International Airlines,1.317279,103.843604,Airport Service,"{'typepoint': {'type': 'Point', 'coordinates': [1.317279, 103.843604]}}"
46,Baseops Asia,1.317314,103.843736,Airport Service,"{'typepoint': {'type': 'Point', 'coordinates': [1.317314, 103.843736]}}"
47,Air Niugini,1.317248,103.843717,Airport Service,"{'typepoint': {'type': 'Point', 'coordinates': [1.317248, 103.843717]}}"
48,P T Garuda Indonesia,1.316577,103.843703,Airport Service,"{'typepoint': {'type': 'Point', 'coordinates': [1.316577, 103.843703]}}"
49,P T Garuda Indonesia,1.306202,103.837139,Airport Service,"{'typepoint': {'type': 'Point', 'coordinates': [1.306202, 103.837139]}}"
