,name,lat,lon,category,type,geometry
0,Starbucks,1.322263,103.84434,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [1.322263, 103.84434]}}",POINT (103.84434 1.322263)
1,Starbucks,1.332478,103.848648,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [1.332478, 103.848648]}}",POINT (103.848648 1.332478)
2,Starbucks,1.319955,103.844378,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [1.319955, 103.844378]}}",POINT (103.844378 1.319955)
3,Starbucks,1.30485,103.831219,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [1.30485, 103.831219]}}",POINT (103.831219 1.30485)
4,Starbucks,1.307056,103.828497,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [1.307056, 103.828497]}}",POINT (103.828497 1.307056)
5,Starbucks Reserve,1.317673,103.844021,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [1.317673, 103.844021]}}",POINT (103.844021 1.317673)
6,Starbucks,1.301071,103.862711,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [1.301071, 103.862711]}}",POINT (103.862711 1.301071)
7,Starbucks,1.304462,103.831595,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [1.304462, 103.831595]}}",POINT (103.831595 1.304462)
8,Starbucks,1.303941,103.833097,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [1.303941, 103.833097]}}",POINT (103.833097 1.303941)
9,Starbucks,1.300767,103.839336,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [1.300767, 103.839336]}}",POINT (103.839336 1.300767)
10,Starbucks,1.302834,103.834867,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [1.302834, 103.834867]}}",POINT (103.834867 1.302834)
11,Starbucks,1.300366,103.845044,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [1.300366, 103.845044]}}",POINT (103.845044 1.300366)
12,Starbucks,1.34975,103.850687,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [1.34975, 103.850687]}}",POINT (103.850687 1.34975)
13,Starbucks,1.296462,103.856894,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [1.296462, 103.856894]}}",POINT (103.856894 1.296462)
14,Starbucks,1.295167,103.858017,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [1.295167, 103.858017]}}",POINT (103.858017 1.295167)
15,Starbucks,1.301447,103.840089,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [1.301447, 103.840089]}}",POINT (103.840089 1.301447)
16,Starbucks,1.298563,103.85868,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [1.298563, 103.85868]}}",POINT (103.85868 1.298563)
17,Starbucks,1.301509,103.839862,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [1.301509, 103.839862]}}",POINT (103.839862 1.301509)
18,Starbucks,1.285632,103.853889,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [1.285632, 103.853889]}}",POINT (103.853889 1.285632)
