,name,lat,lon,category,type
0,Glamour Paws,33.775759,-84.352677,Pet Grooming Service,"{'typepoint': {'type': 'Point', 'coordinates': [33.775759, -84.352677]}}"
1,Bark at the Ark,33.785856,-84.396183,Pet Grooming Service,"{'typepoint': {'type': 'Point', 'coordinates': [33.785856, -84.396183]}}"
2,Pups and Tubs,33.782913,-84.368085,Pet Grooming Service,"{'typepoint': {'type': 'Point', 'coordinates': [33.782913, -84.368085]}}"
3,Paw Palace of Atlanta,33.775867,-84.352713,Pet Grooming Service,"{'typepoint': {'type': 'Point', 'coordinates': [33.775867, -84.352713]}}"
4,The Clean Dog,33.754687,-84.363117,Pet Grooming Service,"{'typepoint': {'type': 'Point', 'coordinates': [33.754687, -84.363117]}}"
5,Greendog,33.74382,-84.403151,Pet Grooming Service,"{'typepoint': {'type': 'Point', 'coordinates': [33.74382, -84.403151]}}"
6,The Poodle Mafia,33.785134,-84.380289,Pet Grooming Service,"{'typepoint': {'type': 'Point', 'coordinates': [33.785134, -84.380289]}}"
7,Kutz-4-Dogz,33.764776,-84.40662,Pet Grooming Service,"{'typepoint': {'type': 'Point', 'coordinates': [33.764776, -84.40662]}}"
8,Wagging Tails Doggy Day Care,33.794504,-84.400454,Pet Grooming Service,"{'typepoint': {'type': 'Point', 'coordinates': [33.794504, -84.400454]}}"
9,The Clean Dog,33.764117,-84.372854,Pet Grooming Service,"{'typepoint': {'type': 'Point', 'coordinates': [33.764117, -84.372854]}}"
10,Alpha Academy of Dog Training,33.773818,-84.364008,Pet Grooming Service,"{'typepoint': {'type': 'Point', 'coordinates': [33.773818, -84.364008]}}"
11,That Marvelous Dog,33.793986,-84.371873,Pet Grooming Service,"{'typepoint': {'type': 'Point', 'coordinates': [33.793986, -84.371873]}}"
12,Petminders,33.794547,-84.366353,Pet Grooming Service,"{'typepoint': {'type': 'Point', 'coordinates': [33.794547, -84.366353]}}"
13,Jazzy Pawz by Andrea,33.761661,-84.359869,Pet Grooming Service,"{'typepoint': {'type': 'Point', 'coordinates': [33.761661, -84.359869]}}"
14,Canine PhD Dogtraining,33.762148,-84.358164,Pet Grooming Service,"{'typepoint': {'type': 'Point', 'coordinates': [33.762148, -84.358164]}}"
15,AMG - Atlanta Meet The Groomers,33.745639,-84.405459,Pet Grooming Service,"{'typepoint': {'type': 'Point', 'coordinates': [33.745639, -84.405459]}}"
16,Kahm the Groomer,33.743059,-84.40611,Pet Grooming Service,"{'typepoint': {'type': 'Point', 'coordinates': [33.743059, -84.40611]}}"
17,Roosters 68544,33.814701,-84.391108,Pet Grooming Service,"{'typepoint': {'type': 'Point', 'coordinates': [33.814701, -84.391108]}}"
18,Puddle Of Pooch,33.812187,-84.372764,Pet Grooming Service,"{'typepoint': {'type': 'Point', 'coordinates': [33.812187, -84.372764]}}"
