,name,lat,lon,category,type
0,SCAD Digital Media Center,33.799253,-84.38742,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [33.799253, -84.38742]}}"
6,Harmonic Design,33.773972,-84.384112,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [33.773972, -84.384112]}}"
7,DRTC Studio,33.778989,-84.382128,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [33.778989, -84.382128]}}"
13,FUGO Studios,33.780579,-84.368145,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [33.780579, -84.368145]}}"
14,Artimide,33.781954,-84.367959,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [33.781954, -84.367959]}}"
16,Garden,33.785401,-84.412145,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [33.785401, -84.412145]}}"
17,Steelcase WorkLife Center Showroom,33.797138,-84.388073,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [33.797138, -84.388073]}}"
18,Culture/Collective,33.781309,-84.413609,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [33.781309, -84.413609]}}"
20,Battlebørn Creative,33.771232,-84.366559,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [33.771232, -84.366559]}}"
21,Everyday Industries,33.774933,-84.364483,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [33.774933, -84.364483]}}"
24,Carlos Jones Photography,33.766381,-84.36405,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [33.766381, -84.36405]}}"
25,Ah Web Design,33.752278,-84.395243,Website Designer,"{'typepoint': {'type': 'Point', 'coordinates': [33.752278, -84.395243]}}"
26,POSTFILM Design Studio,33.768221,-84.36066,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [33.768221, -84.36066]}}"
28,Cartel Studios,33.751147,-84.398565,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [33.751147, -84.398565]}}"
29,KITTYBOY Creations,33.756926,-84.365894,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [33.756926, -84.365894]}}"
30,Studio South,33.756108,-84.366187,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [33.756108, -84.366187]}}"
34,Technosedia,33.810007,-84.382531,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [33.810007, -84.382531]}}"
35,SpinelessStudios,33.750782,-84.364791,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [33.750782, -84.364791]}}"
37,Platinum Images,33.736603,-84.408556,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [33.736603, -84.408556]}}"
40,Bumblebee Press Letterpress Prints,33.757228,-84.354106,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [33.757228, -84.354106]}}"
41,Marmoluna,33.799692,-84.426763,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [33.799692, -84.426763]}}"
43,Travis and Company,33.817052,-84.374944,Interior Designer,"{'typepoint': {'type': 'Point', 'coordinates': [33.817052, -84.374944]}}"
48,Jessica Bradley Interiors,33.818296,-84.373223,Interior Designer,"{'typepoint': {'type': 'Point', 'coordinates': [33.818296, -84.373223]}}"
