,name,lat,lon,category,type
0,Starbucks,33.776605,-84.388548,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [33.776605, -84.388548]}}"
1,Starbucks,33.786495,-84.387107,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [33.786495, -84.387107]}}"
2,Starbucks,33.783303,-84.392443,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [33.783303, -84.392443]}}"
3,Starbucks,33.773564,-84.365976,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [33.773564, -84.365976]}}"
4,Starbucks,33.760303,-84.39491,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [33.760303, -84.39491]}}"
5,Starbucks,33.793138,-84.399263,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [33.793138, -84.399263]}}"
6,Starbucks,33.780242,-84.368893,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [33.780242, -84.368893]}}"
7,Starbucks,33.787032,-84.38277,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [33.787032, -84.38277]}}"
8,Starbucks,33.75661,-84.388675,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [33.75661, -84.388675]}}"
9,Starbucks,33.771666,-84.363495,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [33.771666, -84.363495]}}"
10,Starbucks,33.805914,-84.393355,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [33.805914, -84.393355]}}"
11,Starbucks,33.804301,-84.412784,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [33.804301, -84.412784]}}"
12,Starbucks,33.761666,-84.384916,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [33.761666, -84.384916]}}"
13,Starbucks,33.768106,-84.349445,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [33.768106, -84.349445]}}"
14,Starbucks,33.759485,-84.388269,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [33.759485, -84.388269]}}"
15,Starbucks,33.818817,-84.388458,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [33.818817, -84.388458]}}"
16,Starbucks,33.807226,-84.36675,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [33.807226, -84.36675]}}"
17,Starbucks,33.758299,-84.348381,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [33.758299, -84.348381]}}"
18,Starbucks,33.79797,-84.370896,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [33.79797, -84.370896]}}"
19,Starbucks,33.754329,-84.386889,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [33.754329, -84.386889]}}"
20,Starbucks,33.742196,-84.360509,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [33.742196, -84.360509]}}"
21,Starbucks Reserve,33.778309,-84.38407,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [33.778309, -84.38407]}}"
22,Starbucks,33.756759,-84.34639,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [33.756759, -84.34639]}}"
23,Starbucks,33.80593,-84.393547,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [33.80593, -84.393547]}}"
24,Starbucks,33.79797,-84.370896,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [33.79797, -84.370896]}}"
25,Starbucks,33.754329,-84.386889,Coffee Shop,"{'typepoint': {'type': 'Point', 'coordinates': [33.754329, -84.386889]}}"
