,name,lat,lon,category,type
0,Tech Talent South,33.77746,-84.389422,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.77746, -84.389422]}}"
1,Tech Square Labs,33.778167,-84.388571,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.778167, -84.388571]}}"
2,Flashpoint at Georgia Tech,33.777066,-84.387765,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.777066, -84.387765]}}"
3,BLH Venture Partners,33.777383,-84.389509,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.777383, -84.389509]}}"
4,OneCare,33.777413,-84.38937,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.777413, -84.38937]}}"
6,Centergy One,33.777552,-84.389266,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.777552, -84.389266]}}"
7,Evergreen Healthcare Technology,33.77718,-84.389108,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.77718, -84.389108]}}"
9,TripLingo HQ,33.777094,-84.387103,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.777094, -84.387103]}}"
10,PagerDuty,33.775487,-84.38755,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.775487, -84.38755]}}"
13,Riskalyze- Atlanta Office,33.781733,-84.387122,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.781733, -84.387122]}}"
15,Duda Mobile,33.78473,-84.383214,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.78473, -84.383214]}}"
16,Honeywell Software Center,33.786356,-84.383743,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.786356, -84.383743]}}"
17,Samsara ATL,33.786263,-84.383638,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.786263, -84.383638]}}"
18,"Siteworx - Interactive, Content Management, Application Development",33.787925,-84.385335,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.787925, -84.385335]}}"
19,Tapjoy Atlanta,33.78808,-84.385423,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.78808, -84.385423]}}"
20,Tin Roof Software,33.789716,-84.388043,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.789716, -84.388043]}}"
21,384 Northyards,33.767536,-84.400881,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.767536, -84.400881]}}"
22,Zenput,33.790644,-84.384841,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.790644, -84.384841]}}"
23,Calendly,33.791544,-84.395649,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.791544, -84.395649]}}"
24,Gather HQ,33.773687,-84.407023,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.773687, -84.407023]}}"
25,Purchasing Power,33.791595,-84.389811,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.791595, -84.389811]}}"
26,Scoutmob HQ,33.773733,-84.407076,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.773733, -84.407076]}}"
27,Bluewolf,33.791509,-84.394742,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.791509, -84.394742]}}"
29,Free All Media,33.779206,-84.409205,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.779206, -84.409205]}}"
31,Steady,33.793894,-84.388844,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.793894, -84.388844]}}"
33,CloudTags HQ,33.790206,-84.376981,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.790206, -84.376981]}}"
35,Juvare,33.760424,-84.387158,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.760424, -84.387158]}}"
37,VersionOne,33.77164,-84.367884,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.77164, -84.367884]}}"
38,Pivotal,33.77242,-84.365902,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.77242, -84.365902]}}"
39,MessageGears,33.797463,-84.388179,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.797463, -84.388179]}}"
40,South Point Labs,33.782858,-84.366203,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.782858, -84.366203]}}"
41,HLNtv.com,33.756954,-84.392962,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.756954, -84.392962]}}"
42,Twitter Atlanta,33.772558,-84.365798,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.772558, -84.365798]}}"
43,BlueFletch Bunder Mifflin Campus,33.776883,-84.364856,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.776883, -84.364856]}}"
44,Airbus Aerial,33.772478,-84.365101,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.772478, -84.365101]}}"
45,Thrust Interactive,33.766939,-84.367622,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.766939, -84.367622]}}"
47,Uber Atlanta,33.782433,-84.416176,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.782433, -84.416176]}}"
48,Fullstory,33.801054,-84.39222,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.801054, -84.39222]}}"
49,Lyda Interactive Marketing,33.795792,-84.411876,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [33.795792, -84.411876]}}"
