,name,lat,lon,category,type
0,The Vortex Bar & Grill,33.778891,-84.384445,Sports Bar,"{'typepoint': {'type': 'Point', 'coordinates': [33.778891, -84.384445]}}"
1,Smith's Olde Bar,33.797604,-84.368838,Rock Club,"{'typepoint': {'type': 'Point', 'coordinates': [33.797604, -84.368838]}}"
2,The Painted Duck,33.781387,-84.413783,Bowling Alley,"{'typepoint': {'type': 'Point', 'coordinates': [33.781387, -84.413783]}}"
3,The Albert,33.761975,-84.357624,Sports Bar,"{'typepoint': {'type': 'Point', 'coordinates': [33.761975, -84.357624]}}"
4,Manuel's Tavern,33.770827,-84.352676,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [33.770827, -84.352676]}}"
5,The Local,33.774026,-84.36225,Dive Bar,"{'typepoint': {'type': 'Point', 'coordinates': [33.774026, -84.36225]}}"
6,The Vortex Bar & Grill,33.766296,-84.349229,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [33.766296, -84.349229]}}"
7,The Roof Top,33.773512,-84.361412,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [33.773512, -84.361412]}}"
8,Atkins Park Restaurant,33.776223,-84.352679,Restaurant,"{'typepoint': {'type': 'Point', 'coordinates': [33.776223, -84.352679]}}"
9,Moe's and Joe's Tavern,33.782894,-84.354289,Dive Bar,"{'typepoint': {'type': 'Point', 'coordinates': [33.782894, -84.354289]}}"
10,Bar Margot,33.786255,-84.385276,Lounge,"{'typepoint': {'type': 'Point', 'coordinates': [33.786255, -84.385276]}}"
11,Dugan's Restaurant,33.773591,-84.361848,Restaurant,"{'typepoint': {'type': 'Point', 'coordinates': [33.773591, -84.361848]}}"
12,97 Estoria,33.751936,-84.363489,Dive Bar,"{'typepoint': {'type': 'Point', 'coordinates': [33.751936, -84.363489]}}"
13,Barcelona Wine Bar Westside Ironworks,33.784561,-84.4112,American Restaurant,"{'typepoint': {'type': 'Point', 'coordinates': [33.784561, -84.4112]}}"
14,Cirque Daiquiri Bar and Grill,33.810921,-84.37004,Sports Bar,"{'typepoint': {'type': 'Point', 'coordinates': [33.810921, -84.37004]}}"
