,name,lat,lon,category,type,geometry
0,Feiji X4,1.350052,103.852555,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [1.350052, 103.852555]}}",POINT (103.852555 1.350052)
1,Singapore Changi - British Airways Terminal Area,1.361453,103.856048,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [1.361453, 103.856048]}}",POINT (103.856048 1.361453)
2,Baiju Bawra Airbase,1.302799,103.861221,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [1.302799, 103.861221]}}",POINT (103.861221 1.302799)
3,Mumbai Chhatrapati Shivaji,1.297443,103.866997,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [1.297443, 103.866997]}}",POINT (103.866997 1.297443)
4,Air Force One,1.318314,103.887152,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [1.318314, 103.887152]}}",POINT (103.887152 1.318314)
5,Singairport,1.281192,103.827232,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [1.281192, 103.827232]}}",POINT (103.827232 1.281192)
6,Old Airport Dakota Hangar,1.307784,103.889232,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [1.307784, 103.889232]}}",POINT (103.889232 1.307784)
7,Immigration & Checkpoints Authority Parcel Post Section,1.317758,103.893703,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [1.317758, 103.893703]}}",POINT (103.893703 1.317758)
8,"Viewing Gallery, Mount Faber Safra",1.277723,103.817578,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [1.277723, 103.817578]}}",POINT (103.817578 1.277723)
9,Aviation & Electrical Trading,1.308097,103.858493,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [1.308097, 103.858493]}}",POINT (103.858493 1.308097)
10,Asian Security,1.296318,103.85587,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [1.296318, 103.85587]}}",POINT (103.85587 1.296318)
11,Chartered Asia Technology Enterprise,1.327976,103.896816,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [1.327976, 103.896816]}}",POINT (103.896816 1.327976)
12,Skywest Airlines,1.333157,103.839095,Airport Service,"{'typepoint': {'type': 'Point', 'coordinates': [1.333157, 103.839095]}}",POINT (103.839095 1.333157)
13,America West Airlines,1.352943,103.834207,Airport Service,"{'typepoint': {'type': 'Point', 'coordinates': [1.352943, 103.834207]}}",POINT (103.834207 1.352943)
14,Air Canada,1.31951,103.844017,Airport Service,"{'typepoint': {'type': 'Point', 'coordinates': [1.31951, 103.844017]}}",POINT (103.844017 1.31951)
15,Silkair,1.317414,103.843889,Airport Service,"{'typepoint': {'type': 'Point', 'coordinates': [1.317414, 103.843889]}}",POINT (103.843889 1.317414)
16,Pakistan International Airlines,1.317279,103.843604,Airport Service,"{'typepoint': {'type': 'Point', 'coordinates': [1.317279, 103.843604]}}",POINT (103.843604 1.317279)
17,Baseops Asia,1.317314,103.843736,Airport Service,"{'typepoint': {'type': 'Point', 'coordinates': [1.317314, 103.843736]}}",POINT (103.843736 1.317314)
18,Air Niugini,1.317248,103.843717,Airport Service,"{'typepoint': {'type': 'Point', 'coordinates': [1.317248, 103.843717]}}",POINT (103.843717 1.317248)
19,P T Garuda Indonesia,1.316577,103.843703,Airport Service,"{'typepoint': {'type': 'Point', 'coordinates': [1.316577, 103.843703]}}",POINT (103.843703 1.316577)
20,P T Garuda Indonesia,1.306202,103.837139,Airport Service,"{'typepoint': {'type': 'Point', 'coordinates': [1.306202, 103.837139]}}",POINT (103.837139 1.306202)
