,name,lat,lon,category,type,geometry
0,Astor Bar,1.305631,103.825806,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [1.305631, 103.825806]}}",POINT (103.825806 1.305631)
1,Druggists,1.311073,103.85968,Beer Garden,"{'typepoint': {'type': 'Point', 'coordinates': [1.311073, 103.85968]}}",POINT (103.85968 1.311073)
2,Ice Cold Beer,1.301842,103.83904,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [1.301842, 103.83904]}}",POINT (103.83904 1.301842)
3,TAP,1.294184,103.852785,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [1.294184, 103.852785]}}",POINT (103.852785 1.294184)
4,Kazbar,1.283728,103.848713,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [1.283728, 103.848713]}}",POINT (103.848713 1.283728)
5,Kanpai,1.283777,103.848666,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [1.283777, 103.848666]}}",POINT (103.848666 1.283777)
6,Mo Bar,1.290723,103.858386,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [1.290723, 103.858386]}}",POINT (103.858386 1.290723)
7,The Chupitos Bar,1.290551,103.845087,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [1.290551, 103.845087]}}",POINT (103.845087 1.290551)
8,Acid Bar,1.301337,103.839198,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [1.301337, 103.839198]}}",POINT (103.839198 1.301337)
9,Overeasy,1.285776,103.854041,Lounge,"{'typepoint': {'type': 'Point', 'coordinates': [1.285776, 103.854041]}}",POINT (103.854041 1.285776)
10,Union Bar,1.30838,103.832201,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [1.30838, 103.832201]}}",POINT (103.832201 1.30838)
11,Hannibal European Grill & Pizza Bar,1.291908,103.841195,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [1.291908, 103.841195]}}",POINT (103.841195 1.291908)
12,Harry's,1.336334,103.889046,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [1.336334, 103.889046]}}",POINT (103.889046 1.336334)
13,Harry's,1.304199,103.809985,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [1.304199, 103.809985]}}",POINT (103.809985 1.304199)
14,The Chamber,1.283958,103.848173,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [1.283958, 103.848173]}}",POINT (103.848173 1.283958)
15,Sky Lido,1.288825,103.834204,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [1.288825, 103.834204]}}",POINT (103.834204 1.288825)
16,Lucid Bar,1.336312,103.887322,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [1.336312, 103.887322]}}",POINT (103.887322 1.336312)
17,B.E.D,1.335475,103.889142,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [1.335475, 103.889142]}}",POINT (103.889142 1.335475)
18,Wings Bar,1.290032,103.845425,Beer Bar,"{'typepoint': {'type': 'Point', 'coordinates': [1.290032, 103.845425]}}",POINT (103.845425 1.290032)
19,Ikki Izakaya,1.306344,103.791109,Sushi Restaurant,"{'typepoint': {'type': 'Point', 'coordinates': [1.306344, 103.791109]}}",POINT (103.791109 1.306344)
20,Manhattan Resources,1.284819,103.844497,Cocktail Bar,"{'typepoint': {'type': 'Point', 'coordinates': [1.284819, 103.844497]}}",POINT (103.844497 1.284819)
21,Atlas Bar,1.300103,103.857602,Cocktail Bar,"{'typepoint': {'type': 'Point', 'coordinates': [1.300103, 103.857602]}}",POINT (103.857602 1.300103)
22,Le Bon Funk,1.282392,103.846601,Wine Bar,"{'typepoint': {'type': 'Point', 'coordinates': [1.282392, 103.846601]}}",POINT (103.846601 1.282392)
23,The Other Room,1.305197,103.832794,Cocktail Bar,"{'typepoint': {'type': 'Point', 'coordinates': [1.305197, 103.832794]}}",POINT (103.832794 1.305197)
24,No. 5 Emerald Hill,1.301771,103.839087,Cocktail Bar,"{'typepoint': {'type': 'Point', 'coordinates': [1.301771, 103.839087]}}",POINT (103.839087 1.301771)
25,Wine Connection Cheese Bar - Robertson Walk,1.291709,103.842302,Wine Bar,"{'typepoint': {'type': 'Point', 'coordinates': [1.291709, 103.842302]}}",POINT (103.842302 1.291709)
26,Native,1.280023,103.84682,Cocktail Bar,"{'typepoint': {'type': 'Point', 'coordinates': [1.280023, 103.84682]}}",POINT (103.84682 1.280023)
27,Smoke & Mirrors,1.289995,103.851363,Cocktail Bar,"{'typepoint': {'type': 'Point', 'coordinates': [1.289995, 103.851363]}}",POINT (103.851363 1.289995)
28,Anti:Dote,1.294149,103.853818,Cocktail Bar,"{'typepoint': {'type': 'Point', 'coordinates': [1.294149, 103.853818]}}",POINT (103.853818 1.294149)
