,name,lat,lon,category,type,geometry
0,Singapore Basketball Centre,1.320824,103.88771,Sports and Recreation,"{'typepoint': {'type': 'Point', 'coordinates': [1.320824, 103.88771]}}",POINT (103.88771 1.320824)
1,Toa Payoh West Basketball Court,1.335451,103.847012,Basketball Court,"{'typepoint': {'type': 'Point', 'coordinates': [1.335451, 103.847012]}}",POINT (103.847012 1.335451)
2,Tmc Basketball Court,1.348178,103.840406,Basketball Court,"{'typepoint': {'type': 'Point', 'coordinates': [1.348178, 103.840406]}}",POINT (103.840406 1.348178)
3,Raffles Institution Basketball Court,1.346517,103.844318,Basketball Court,"{'typepoint': {'type': 'Point', 'coordinates': [1.346517, 103.844318]}}",POINT (103.844318 1.346517)
4,"Basketball Court, Sph",1.342606,103.848636,Basketball Court,"{'typepoint': {'type': 'Point', 'coordinates': [1.342606, 103.848636]}}",POINT (103.848636 1.342606)
5,Ocbc Arena,1.304169,103.8761,Recreation Center,"{'typepoint': {'type': 'Point', 'coordinates': [1.304169, 103.8761]}}",POINT (103.8761 1.304169)
6,"Basketball Court, Tanglin Community Club",1.324901,103.826901,Basketball Court,"{'typepoint': {'type': 'Point', 'coordinates': [1.324901, 103.826901]}}",POINT (103.826901 1.324901)
7,Basketball Court,1.341207,103.855646,Basketball Court,"{'typepoint': {'type': 'Point', 'coordinates': [1.341207, 103.855646]}}",POINT (103.855646 1.341207)
8,Basketball Court,1.352851,103.843831,Basketball Court,"{'typepoint': {'type': 'Point', 'coordinates': [1.352851, 103.843831]}}",POINT (103.843831 1.352851)
9,St George Basketball Court,1.322473,103.859431,Basketball Court,"{'typepoint': {'type': 'Point', 'coordinates': [1.322473, 103.859431]}}",POINT (103.859431 1.322473)
10,"Jammers Basketball League, Ccab",1.318481,103.818745,Stadium,"{'typepoint': {'type': 'Point', 'coordinates': [1.318481, 103.818745]}}",POINT (103.818745 1.318481)
11,"Basketball Court, Pek Kio Community Centre",1.315561,103.850784,Basketball Court,"{'typepoint': {'type': 'Point', 'coordinates': [1.315561, 103.850784]}}",POINT (103.850784 1.315561)
12,"Basketball Court, Springbloom",1.349668,103.863484,Basketball Court,"{'typepoint': {'type': 'Point', 'coordinates': [1.349668, 103.863484]}}",POINT (103.863484 1.349668)
13,Basketball Court,1.363507,103.832359,Basketball Court,"{'typepoint': {'type': 'Point', 'coordinates': [1.363507, 103.832359]}}",POINT (103.832359 1.363507)
14,Blk 32 Basketball Court,1.31305,103.858179,Basketball Court,"{'typepoint': {'type': 'Point', 'coordinates': [1.31305, 103.858179]}}",POINT (103.858179 1.31305)
15,Amk Ave 5 Basketball Court,1.375425,103.840745,Basketball Court,"{'typepoint': {'type': 'Point', 'coordinates': [1.375425, 103.840745]}}",POINT (103.840745 1.375425)
