,name,lat,lon,category,type
0,Joy Little Playschool,1.359952,103.834027,Daycare,"{'typepoint': {'type': 'Point', 'coordinates': [1.359952, 103.834027]}}"
1,Wee Care,1.305547,103.823143,Education,"{'typepoint': {'type': 'Point', 'coordinates': [1.305547, 103.823143]}}"
2,Casa Dental,1.371025,103.848264,Daycare,"{'typepoint': {'type': 'Point', 'coordinates': [1.371025, 103.848264]}}"
3,Happy Town Child Care Centre,1.315561,103.872783,Daycare,"{'typepoint': {'type': 'Point', 'coordinates': [1.315561, 103.872783]}}"
4,Cherie Hearts Kidz Cove,1.302338,103.86225,Daycare,"{'typepoint': {'type': 'Point', 'coordinates': [1.302338, 103.86225]}}"
5,Winchester Infant House,1.298006,103.815577,Education,"{'typepoint': {'type': 'Point', 'coordinates': [1.298006, 103.815577]}}"
6,4Trimester,1.310261,103.799199,Daycare,"{'typepoint': {'type': 'Point', 'coordinates': [1.310261, 103.799199]}}"
7,Superland Montessori Pre-School,1.29019,103.831057,Daycare,"{'typepoint': {'type': 'Point', 'coordinates': [1.29019, 103.831057]}}"
8,Josiah Babies,1.295152,103.859328,Daycare,"{'typepoint': {'type': 'Point', 'coordinates': [1.295152, 103.859328]}}"
9,Kreta Ayer Seniors Activity Centre,1.289514,103.84202,Daycare,"{'typepoint': {'type': 'Point', 'coordinates': [1.289514, 103.84202]}}"
10,Ghim Moh Centre,1.312725,103.788577,Daycare,"{'typepoint': {'type': 'Point', 'coordinates': [1.312725, 103.788577]}}"
11,"Mindchamps, Biopolis",1.301244,103.792731,Daycare,"{'typepoint': {'type': 'Point', 'coordinates': [1.301244, 103.792731]}}"
12,"Mulberry Learning Centre, Tanjong Pagar",1.27557,103.842744,Daycare,"{'typepoint': {'type': 'Point', 'coordinates': [1.27557, 103.842744]}}"
13,Kiddiwinkie,1.307847,103.832718,Nursery School,"{'typepoint': {'type': 'Point', 'coordinates': [1.307847, 103.832718]}}"
14,Life Care Society,1.302205,103.851906,Education,"{'typepoint': {'type': 'Point', 'coordinates': [1.302205, 103.851906]}}"
16,Sunflower Baby House,1.339124,103.792818,Child Care Service,"{'typepoint': {'type': 'Point', 'coordinates': [1.339124, 103.792818]}}"
17,Club Rainbow,1.285294,103.845864,Non-Profit Organization,"{'typepoint': {'type': 'Point', 'coordinates': [1.285294, 103.845864]}}"
20,Little Village on the Grange,1.299554,103.831617,Child Care Service,"{'typepoint': {'type': 'Point', 'coordinates': [1.299554, 103.831617]}}"
