,name,lat,lon,category,type,geometry
0,Gucci,1.303254,103.835593,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [1.303254, 103.835593]}}",POINT (103.835593 1.303254)
1,Bershka,1.299602,103.854264,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [1.299602, 103.854264]}}",POINT (103.854264 1.299602)
2,Mycenean Design-Profession,1.325329,103.842364,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [1.325329, 103.842364]}}",POINT (103.842364 1.325329)
3,Vivere Design Concept,1.336304,103.84843,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [1.336304, 103.84843]}}",POINT (103.84843 1.336304)
4,Inspiration Design,1.326674,103.842639,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [1.326674, 103.842639]}}",POINT (103.842639 1.326674)
5,Brick & Tungsten,1.326335,103.842968,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [1.326335, 103.842968]}}",POINT (103.842968 1.326335)
6,Living Art Design Gallery,1.333886,103.848696,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [1.333886, 103.848696]}}",POINT (103.848696 1.333886)
7,Kenzo Lighting Consultant,1.32612,103.849161,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [1.32612, 103.849161]}}",POINT (103.849161 1.32612)
8,Cravefx,1.331514,103.853462,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [1.331514, 103.853462]}}",POINT (103.853462 1.331514)
9,Avantgarde Interior,1.323948,103.852016,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [1.323948, 103.852016]}}",POINT (103.852016 1.323948)
10,Unimax Creative,1.322944,103.852823,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [1.322944, 103.852823]}}",POINT (103.852823 1.322944)
11,D' Planner,1.321025,103.85244,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [1.321025, 103.85244]}}",POINT (103.85244 1.321025)
12,Orangedot Productions,1.311984,103.844001,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [1.311984, 103.844001]}}",POINT (103.844001 1.311984)
13,Impressions Art Studio,1.322678,103.814342,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [1.322678, 103.814342]}}",POINT (103.814342 1.322678)
14,Alicevfx,1.318869,103.857547,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [1.318869, 103.857547]}}",POINT (103.857547 1.318869)
15,I-Chapter,1.315823,103.856953,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [1.315823, 103.856953]}}",POINT (103.856953 1.315823)
16,Infinity Design Associates,1.304091,103.853568,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [1.304091, 103.853568]}}",POINT (103.853568 1.304091)
17,Uu 3D Custom Figurines,1.305948,103.832648,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [1.305948, 103.832648]}}",POINT (103.832648 1.305948)
18,Dick's Beaumonde,1.306104,103.83208,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [1.306104, 103.83208]}}",POINT (103.83208 1.306104)
19,Style : Nordic,1.306799,103.828912,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [1.306799, 103.828912]}}",POINT (103.828912 1.306799)
20,"Studio, Voxlab",1.305717,103.831535,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [1.305717, 103.831535]}}",POINT (103.831535 1.305717)
21,Envie De Pois,1.304023,103.831772,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [1.304023, 103.831772]}}",POINT (103.831772 1.304023)
22,Db Studio,1.312806,103.859579,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [1.312806, 103.859579]}}",POINT (103.859579 1.312806)
23,Daydreams Studio,1.306474,103.853168,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [1.306474, 103.853168]}}",POINT (103.853168 1.306474)
24,Lovelypears,1.301619,103.840753,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [1.301619, 103.840753]}}",POINT (103.840753 1.301619)
25,AMEVI Designs,1.301557,103.839616,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [1.301557, 103.839616]}}",POINT (103.839616 1.301557)
26,Effects Design,1.311229,103.862854,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [1.311229, 103.862854]}}",POINT (103.862854 1.311229)
27,Raffles Studio,1.309795,103.862001,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [1.309795, 103.862001]}}",POINT (103.862001 1.309795)
28,Kaleido Interior,1.307897,103.860765,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [1.307897, 103.860765]}}",POINT (103.860765 1.307897)
29,"Interior Design Studio H401, Lasalle",1.302772,103.851522,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [1.302772, 103.851522]}}",POINT (103.851522 1.302772)
30,M3 Studio,1.311546,103.863377,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [1.311546, 103.863377]}}",POINT (103.863377 1.311546)
31,Chew Interior Design,1.309845,103.865941,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [1.309845, 103.865941]}}",POINT (103.865941 1.309845)
32,Ray Inn,1.304202,103.859611,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [1.304202, 103.859611]}}",POINT (103.859611 1.304202)
