,Unnamed: 0,name,lat,lon,category,type,geometry
0,3,Sph Digital,1.343076,103.848689,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [1.343076, 103.848689]}}",POINT (103.848689 1.343076)
1,4,Rapture Gaming,1.349816,103.841811,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [1.349816, 103.841811]}}",POINT (103.841811 1.349816)
2,5,Codigo - Mobile Apps Studio,1.359388,103.834026,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [1.359388, 103.834026]}}",POINT (103.834026 1.359388)
3,6,Rapid7,1.303283,103.840386,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [1.303283, 103.840386]}}",POINT (103.840386 1.303283)
4,7,Lightware Visual Engineering Sea,1.311655,103.859116,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [1.311655, 103.859116]}}",POINT (103.859116 1.311655)
5,9,Ascendcom Office,1.326519,103.8713,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [1.326519, 103.8713]}}",POINT (103.8713 1.326519)
6,10,Biipmi,1.299798,103.836534,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [1.299798, 103.836534]}}",POINT (103.836534 1.299798)
7,11,Vibanti,1.316611,103.867521,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [1.316611, 103.867521]}}",POINT (103.867521 1.316611)
8,13,The Office,1.308528,103.86273,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [1.308528, 103.86273]}}",POINT (103.86273 1.308528)
9,15,Visualfly,1.303386,103.859738,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [1.303386, 103.859738]}}",POINT (103.859738 1.303386)
10,16,Keyfields,1.329764,103.876799,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [1.329764, 103.876799]}}",POINT (103.876799 1.329764)
11,17,Perx Office,1.301576,103.860618,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [1.301576, 103.860618]}}",POINT (103.860618 1.301576)
12,19,Nemesis Pictures,1.328042,103.87905,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [1.328042, 103.87905]}}",POINT (103.87905 1.328042)
13,21,Intalio,1.297292,103.856587,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [1.297292, 103.856587]}}",POINT (103.856587 1.297292)
14,22,Yfind Technologies,1.298009,103.815824,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [1.298009, 103.815824]}}",POINT (103.815824 1.298009)
15,23,Ayondo,1.293572,103.849722,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [1.293572, 103.849722]}}",POINT (103.849722 1.293572)
16,26,Innoform Media,1.334374,103.882884,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [1.334374, 103.882884]}}",POINT (103.882884 1.334374)
17,27,Paypal Innovation Lab,1.294572,103.857719,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [1.294572, 103.857719]}}",POINT (103.857719 1.294572)
18,28,Tradehero,1.29093,103.825019,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [1.29093, 103.825019]}}",POINT (103.825019 1.29093)
19,29,Mulesoft Singapore,1.29465,103.859731,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [1.29465, 103.859731]}}",POINT (103.859731 1.29465)
20,30,Bitsmedia,1.383585,103.828353,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [1.383585, 103.828353]}}",POINT (103.828353 1.383585)
21,31,Xero Singapore,1.28563,103.847759,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [1.28563, 103.847759]}}",POINT (103.847759 1.28563)
22,32,INTRAIX,1.284289,103.841519,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [1.284289, 103.841519]}}",POINT (103.841519 1.284289)
23,33,Videology Singapore,1.284915,103.85072,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [1.284915, 103.85072]}}",POINT (103.85072 1.284915)
24,34,Mediamath,1.283557,103.846884,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [1.283557, 103.846884]}}",POINT (103.846884 1.283557)
25,35,Rubicon Project,1.283869,103.84869,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [1.283869, 103.84869]}}",POINT (103.84869 1.283869)
26,36,Amazon Web Services,1.284108,103.849009,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [1.284108, 103.849009]}}",POINT (103.849009 1.284108)
27,37,Criteo Singapore,1.283527,103.849573,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [1.283527, 103.849573]}}",POINT (103.849573 1.283527)
28,38,Skinnymint Headquarters,1.282823,103.84452,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [1.282823, 103.84452]}}",POINT (103.84452 1.282823)
29,42,"Hq Scdf, Fcc",1.333726,103.892322,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [1.333726, 103.892322]}}",POINT (103.892322 1.333726)
30,44,Airwallex,1.282224,103.850528,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [1.282224, 103.850528]}}",POINT (103.850528 1.282224)
31,46,Tradegecko,1.281153,103.848136,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [1.281153, 103.848136]}}",POINT (103.848136 1.281153)
32,48,Efront,1.281107,103.848429,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [1.281107, 103.848429]}}",POINT (103.848429 1.281107)
33,49,Nitrous Singapore,1.279729,103.840539,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [1.279729, 103.840539]}}",POINT (103.840539 1.279729)
