,name,lat,lon,category,type,geometry
0,Bar am Wasser,47.367515,8.541442,Cocktail Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.367515, 8.541442]}}",POINT (8.541442 47.367515)
1,Drinx Bar,47.363747,8.54751,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.363747, 8.54751]}}",POINT (8.54751 47.363747)
2,Old Fashion Bar,47.368776,8.540664,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.368776, 8.540664]}}",POINT (8.540664 47.368776)
3,Grande Café & Bar,47.375505,8.543284,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.375505, 8.543284]}}",POINT (8.543284 47.375505)
4,Totò - Ristorante e Bar,47.358023,8.553877,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.358023, 8.553877]}}",POINT (8.553877 47.358023)
5,Rimini Bar,47.371618,8.532917,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.371618, 8.532917]}}",POINT (8.532917 47.371618)
6,Safari Bar,47.375604,8.544421,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.375604, 8.544421]}}",POINT (8.544421 47.375604)
7,Collana Bar e Caffè,47.365903,8.54657,Restaurant,"{'typepoint': {'type': 'Point', 'coordinates': [47.365903, 8.54657]}}",POINT (8.54657 47.365903)
8,Rio Bar,47.376213,8.535826,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.376213, 8.535826]}}",POINT (8.535826 47.376213)
9,Ebrietas Bar,47.375816,8.544394,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.375816, 8.544394]}}",POINT (8.544394 47.375816)
10,01 Bar,47.373851,8.543038,Lounge,"{'typepoint': {'type': 'Point', 'coordinates': [47.373851, 8.543038]}}",POINT (8.543038 47.373851)
11,ALMODOBAR - Café Bar Restaurant,47.366872,8.533199,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.366872, 8.533199]}}",POINT (8.533199 47.366872)
