,name,lat,lon,category,type,geometry
0,TallyFox Social Technologies AG,47.369714,8.545559,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.369714, 8.545559]}}",POINT (8.545559 47.369714)
1,DCTRL — Studio For Creative Technology,47.380275,8.536201,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.380275, 8.536201]}}",POINT (8.536201 47.380275)
3,Dpi Publishing,47.366376,8.549064,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.366376, 8.549064]}}",POINT (8.549064 47.366376)
4,Quentiq,47.364702,8.549989,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.364702, 8.549989]}}",POINT (8.549989 47.364702)
5,Semacle AG,47.364528,8.549349,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.364528, 8.549349]}}",POINT (8.549349 47.364528)
6,Ampard AG,47.368938,8.549964,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.368938, 8.549964]}}",POINT (8.549964 47.368938)
7,Advandoo,47.363527,8.550046,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.363527, 8.550046]}}",POINT (8.550046 47.363527)
10,R3Pi-Z,47.362072,8.548436,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.362072, 8.548436]}}",POINT (8.548436 47.362072)
11,Clubzone,47.359697,8.551911,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.359697, 8.551911]}}",POINT (8.551911 47.359697)
12,ElectricFeel AG,47.359203,8.54819,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.359203, 8.54819]}}",POINT (8.54819 47.359203)
13,Dealmarket HQ,47.37206,8.541802,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.37206, 8.541802]}}",POINT (8.541802 47.37206)
14,UZH WorkSpace,47.375567,8.545088,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.375567, 8.545088]}}",POINT (8.545088 47.375567)
15,Publisheria HQ,47.362025,8.562445,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.362025, 8.562445]}}",POINT (8.562445 47.362025)
16,Management Tools AG,47.375382,8.542793,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.375382, 8.542793]}}",POINT (8.542793 47.375382)
17,Moca AG,47.376451,8.544312,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.376451, 8.544312]}}",POINT (8.544312 47.376451)
18,Kublé Lake,47.36159,8.536576,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.36159, 8.536576]}}",POINT (8.536576 47.36159)
19,Ticketpark Zurich Office,47.376972,8.54467,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.376972, 8.54467]}}",POINT (8.54467 47.376972)
20,Scandit HQ,47.378131,8.549631,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.378131, 8.549631]}}",POINT (8.549631 47.378131)
21,Sprinklr Switzerland,47.371716,8.534371,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.371716, 8.534371]}}",POINT (8.534371 47.371716)
22,New Relic,47.376081,8.539722,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.376081, 8.539722]}}",POINT (8.539722 47.376081)
24,OTO Switzerland GmbH,47.36328,8.566778,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.36328, 8.566778]}}",POINT (8.566778 47.36328)
26,Starmind,47.369038,8.532872,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.369038, 8.532872]}}",POINT (8.532872 47.369038)
27,42matters AG,47.369866,8.532576,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.369866, 8.532576]}}",POINT (8.532576 47.369866)
28,Rondevoo GmbH,47.378714,8.555755,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.378714, 8.555755]}}",POINT (8.555755 47.378714)
29,Habitusnet Consulting AG,47.379329,8.543609,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.379329, 8.543609]}}",POINT (8.543609 47.379329)
30,Spocal,47.38043,8.54749,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.38043, 8.54749]}}",POINT (8.54749 47.38043)
31,Doodle HQ,47.372203,8.530808,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.372203, 8.530808]}}",POINT (8.530808 47.372203)
33,SBBincubator,47.377059,8.535196,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.377059, 8.535196]}}",POINT (8.535196 47.377059)
35,Shortcut Media AG,47.376701,8.533823,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.376701, 8.533823]}}",POINT (8.533823 47.376701)
36,futuretek GmbH,47.376653,8.533356,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.376653, 8.533356]}}",POINT (8.533356 47.376653)
37,Lunchgate AG,47.360962,8.570814,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.360962, 8.570814]}}",POINT (8.570814 47.360962)
38,Amphiro AG,47.381745,8.54415,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.381745, 8.54415]}}",POINT (8.54415 47.381745)
39,Fineware,47.361444,8.572361,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.361444, 8.572361]}}",POINT (8.572361 47.361444)
40,Siroop,47.374562,8.530787,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.374562, 8.530787]}}",POINT (8.530787 47.374562)
41,BEN Energy Office,47.382487,8.545095,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.382487, 8.545095]}}",POINT (8.545095 47.382487)
42,VIU - Framing Characters,47.372651,8.52635,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.372651, 8.52635]}}",POINT (8.52635 47.372651)
44,Qoqa,47.382685,8.54029,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.382685, 8.54029]}}",POINT (8.54029 47.382685)
45,Uber Switzerland HQ,47.351192,8.561473,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.351192, 8.561473]}}",POINT (8.561473 47.351192)
